date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:26:02	16565/16565	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2018:26:02%20GMT	https://luckyforlife.us/robots.txt		(from )
19:26:03	41823/41823	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2018:26:02%20GMT	https://luckyforlife.us/	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/index.html	(from )
19:26:04	11095/11095	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2015%20Aug%202023%2018:26:04%20GMT	https://luckyforlife.us/bundles/modernizr?v=inCVuEFe6J4Q07A0AcRsbJic_UE5MwpRMNGcOtk94TE1	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/bundles/modernizr0cf5	(from https://luckyforlife.us/)
19:26:06	253997/253997	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Aug%202023%2018:26:05%20GMT	https://luckyforlife.us/Content/css?v=nZdlMqv2mbsfF2PBvs7FiChjXWLi5wcbupDw5Z7ELYI1	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Content/csse2f7.css	(from https://luckyforlife.us/)
19:26:07	1815/1815	---M--	200	added ('OK')	image/x-icon	etag:%22c3ee4ab2335dd71:0%22	https://luckyforlife.us/Content/images/favicon.ico	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Content/images/favicon.ico	(from https://luckyforlife.us/)
19:26:08	26373/26373	---M-Z	200	added ('OK')	text/css	etag:%224256e61aab79d71:0%22	https://luckyforlife.us/Content/Site.min.css?v=202156150256	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Content/Site.minad22.css	(from https://luckyforlife.us/)
19:26:11	98918/98918	---M--	200	added ('OK')	image/jpeg	etag:%220c6b8ee6a67d71:0%22	https://luckyforlife.us/Content/pages/banners/1/banner.jpg	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Content/pages/banners/1/banner.jpg	(from https://luckyforlife.us/)
19:26:12	145442/145442	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2015%20Aug%202023%2018:26:12%20GMT	https://luckyforlife.us/bundles/MsAjaxJs?v=D6VN0fHlwFSIWjbVzi6mZyE9Ls-4LNrSSYVGRU46XF81	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/bundles/MsAjaxJs604f	(from https://luckyforlife.us/)
19:26:13	89476/89476	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f92a175355dd71:0%22	https://luckyforlife.us/Scripts/jquery-3.5.1.min.js	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Scripts/jquery-3.5.1.min.js	(from https://luckyforlife.us/)
19:26:14	63467/63467	---M-Z	200	added ('OK')	application/x-javascript	etag:%22aa79c14355dd71:0%22	https://luckyforlife.us/Scripts/bootstrap.min.js	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Scripts/bootstrap.min.js	(from https://luckyforlife.us/)
19:26:16	61394/61394	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2015%20Aug%202023%2018:26:15%20GMT	https://luckyforlife.us/bundles/WebFormsJs?v=N8tymL9KraMLGAMFuPycfH3pXe6uUlRXdhtYv8A_jUU1	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/bundles/WebFormsJsa1eb	(from https://luckyforlife.us/)
19:26:17	21150/21150	---M-Z	200	added ('OK')	application/x-javascript	etag:%226fbc25355dd71:0%22	https://luckyforlife.us/Scripts/jquery.vmap.min.js	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Scripts/jquery.vmap.min.js	(from https://luckyforlife.us/)
19:26:18	42689/42689	---M-Z	200	added ('OK')	application/x-javascript	etag:%22efb745355dd71:0%22	https://luckyforlife.us/Scripts/jquery.vmap.usa.js	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Scripts/jquery.vmap.usa.js	(from https://luckyforlife.us/)
19:26:20	199899/199899	---MCZ	200	added ('OK')	application/x-javascript	etag:%22181aeb4355dd71:0%22	https://luckyforlife.us/Scripts/jquery.main.min.js	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Scripts/jquery.main.min.js	(from https://luckyforlife.us/)
19:26:21	253669/253669	---MCZ	200	added ('OK')	application/x-javascript	etag:%225b3e315355dd71:0%22	https://luckyforlife.us/Scripts/jquery-ui.min.js	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Scripts/jquery-ui.min.js	(from https://luckyforlife.us/)
19:26:22	225116/225116	---MCZ	200	added ('OK')	application/x-javascript	etag:%22e661d44355dd71:0%22	https://luckyforlife.us/Scripts/datatables.min.js	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Scripts/datatables.min.js	(from https://luckyforlife.us/)
19:26:23	14866/14866	---M--	200	added ('OK')	image/png	etag:%2203670c67b43d71:0%22	https://luckyforlife.us/Content/images/store.png	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Content/images/store.png	(from https://luckyforlife.us/)
19:26:23	29932/29932	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2018:26:23%20GMT	https://luckyforlife.us/how-to-play/	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/how-to-play/index.html	(from https://luckyforlife.us/)
19:26:23	37239/37239	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2018:26:23%20GMT	https://luckyforlife.us/where-to-play/	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/where-to-play/index.html	(from https://luckyforlife.us/)
19:26:25	16681/16681	---M--	200	added ('OK')	image/png	etag:%2208a5af17b43d71:0%22	https://luckyforlife.us/Content/images/dollar_bill.png	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Content/images/dollar_bill.png	(from https://luckyforlife.us/)
19:26:28	14583/14583	---M--	200	added ('OK')	image/png	etag:%220aaf2ca145d71:0%22	https://luckyforlife.us/Content/images/numbers.png	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Content/images/numbers.png	(from https://luckyforlife.us/)
19:26:29	36360/36360	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2018:26:26%20GMT	https://luckyforlife.us/winning-numbers/	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/winning-numbers/index.html	(from https://luckyforlife.us/)
19:26:30	18106/18106	---M--	200	added ('OK')	image/png	etag:%2205c80b9a045d71:0%22	https://luckyforlife.us/Content/images/chat_bubbles.png	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Content/images/chat_bubbles.png	(from https://luckyforlife.us/)
19:26:31	4847/4847	---M--	200	added ('OK')	image/png	etag:%225e5f6fb2335dd71:0%22	https://luckyforlife.us/Content/images/icons_numbers.png	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Content/images/icons_numbers.png	(from https://luckyforlife.us/)
19:26:32	30555/30555	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2018:26:30%20GMT	https://luckyforlife.us/frequently-asked-questions/	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/frequently-asked-questions/index.html	(from https://luckyforlife.us/)
19:26:32	33191/33191	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2018:26:30%20GMT	https://luckyforlife.us/odds-and-prizes/	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/odds-and-prizes/index.html	(from https://luckyforlife.us/)
19:26:33	42080/42080	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2018:26:31%20GMT	https://luckyforlife.us/winners/	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/winners/index.html	(from https://luckyforlife.us/)
19:26:34	29756/29756	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2018:26:33%20GMT	https://luckyforlife.us/top-prize-winners/	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/top-prize-winners/index.html	(from https://luckyforlife.us/)
19:26:34	10540/10540	---M--	200	added ('OK')	image/jpeg	etag:%220%22	https://i4.ytimg.com/vi/Eql6cgSGdxk/hqdefault.jpg	C:/My%20Web%20Sites/luckyforlifecl/i4.ytimg.com/vi/Eql6cgSGdxk/hqdefault.jpg	(from https://luckyforlife.us/)
19:26:34	28496/28496	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2018:26:33%20GMT	https://luckyforlife.us/about/	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/about/index.html	(from https://luckyforlife.us/)
19:26:35	29527/29527	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2018:26:34%20GMT	https://luckyforlife.us/play-responsibly/	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/play-responsibly/index.html	(from https://luckyforlife.us/)
19:26:37	5328/5328	---M--	200	added ('OK')	image/png	etag:%22ba783b2335dd71:0%22	https://luckyforlife.us/Content/images/white_logo.png	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/Content/images/white_logo.png	(from https://luckyforlife.us/)
19:26:37	38821/38821	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2018:26:36%20GMT	https://luckyforlife.us/contact/	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/contact/index.html	(from https://luckyforlife.us/)
19:26:40	41324/41324	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2018:26:38%20GMT	https://luckyforlife.us/privacy-policy/	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/privacy-policy/index.html	(from https://luckyforlife.us/)
19:26:40	47428/47428	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2018:26:38%20GMT	https://luckyforlife.us/terms-and-conditions/	C:/My%20Web%20Sites/luckyforlifecl/luckyforlife.us/terms-and-conditions/index.html	(from https://luckyforlife.us/)
